127.0.0.1 - - [24/Sep/2019:18:54:40 -0400] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:54:53 -0400] "GET /Shop-Only-Wear-SOW-/ HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:54:53 -0400] "GET /Shop-Only-Wear-SOW-/ HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:54:56 -0400] "GET /Shop-Only-Wear-SOW-/ HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:54:56 -0400] "GET /Shop-Only-Wear-SOW-/ HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:55:01 -0400] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Sep/2019:18:55:01 -0400] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:27:00 -0400] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [24/Sep/2019:19:27:00 -0400] "GET / HTTP/1.1" 404 1074
